Agency,Recipient,Description,Date,SAVED
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MA ST DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,104865.0
DEPARTMENT OF STATE,CORD GLOBAL,No description available,2/26/2025,104796.31
INTERNATIONAL ASSISTANCE PROGRAMS,Helen's Daughters,No description available,3/4/2025,104660.0
DEPARTMENT OF STATE,Botswana Council of Non-Governmental Organizations,"TO ENSURE THAT VOTERS HAVE ACCESS TO RELEVANT, ACCURATE AND TIMELY INF...",2/26/2025,104415.76
INTERNATIONAL ASSISTANCE PROGRAMS,COOPERATIVA AGRARIA ECOLOGICA Y SOLIDARIA PIURA,No description available,3/4/2025,104400.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ME ST DEPARTMENT OF HUMAN SERVICES,No description available,3/23/2025,103879.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH AND ENVIRONMENT, COLORADO DEPARTMENT OF",No description available,3/23/2025,103858.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF ROCHESTER,No description available,2/28/2025,103823.0
DEPARTMENT OF AGRICULTURE,Confederated Tribes of Siletz Indians of Oregon,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,103547.0
HOUSING AND URBAN DEVELOPMENT,"Idaho Legal Aid Services, Incorporated",PURPOSE: THE PURPOSE OF ILAS’S FHIP EDUCATION AND OUTREACH PROJECT IS ...,2/27/2025,103458.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,103318.0
HOUSING AND URBAN DEVELOPMENT,HomeBase Center for Common Concerns,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,103206.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,102940.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COUNCIL OF STATE & TERRITORY EPIDEMIOLOGISTS,No description available,3/23/2025,102885.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",No description available,3/23/2025,102882.0
DEPARTMENT OF STATE,Promoting Empowerment Through Awareness for Lesbian and Bisexual Women (PETAL),STRENGTHEN CAPACITY OF COMMUNITY WOMEN'S GROUPS AND INDIVIDUALS OF DIV...,2/26/2025,102679.99
DEPARTMENT OF STATE,Bangladesh University of Engineering and Technology,No description available,2/26/2025,102631.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AMERICAN PHARMACEUTICAL ASSOCIATION,No description available,3/23/2025,102484.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"VI DEPARTMENT OF HEALTH, OFFICE OF FEDERAL GRANTS MGT",No description available,3/23/2025,102469.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF GEORGIA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,102119.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CHEYENNE & ARAPAHO TRIBES,No description available,3/23/2025,101906.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,VI DEPARTMENT OF HEALTH,No description available,3/23/2025,101846.0
INTERNATIONAL ASSISTANCE PROGRAMS,Organización Campesina Regional de Concepción,No description available,3/4/2025,101668.0
INTERNATIONAL ASSISTANCE PROGRAMS,"ControlaTuGobierno, A.C.",No description available,3/4/2025,101480.0
DEPARTMENT OF STATE,RESTART CENTER,No description available,2/26/2025,101337.28
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Consejeros para la Agricultura Sostenible Ecológica y Humana,No description available,3/4/2025,101228.0
DEPARTMENT OF STATE,TEXAS INTERNATIONAL EDUCATION CONSORTIUM,No description available,2/26/2025,101035.12
INTERNATIONAL ASSISTANCE PROGRAMS,CONEXION GUATEMALA,No description available,3/4/2025,100932.0
DEPARTMENT OF STATE,FILOZOFSKI FAKULTET U NOVOM SADU,TO COVER THE UNIVERSITY PARTNERSHIP PROGRAM BETWEEN UNIVERSITY OF NOVI...,2/26/2025,100931.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Desarrollo Pespirense,No description available,3/4/2025,100700.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação Casa Fluminense,No description available,3/4/2025,100600.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,No description available,3/23/2025,100585.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,RESEARCH TRIANGLE INSTITUTE,No description available,3/23/2025,100507.0
INTERNATIONAL ASSISTANCE PROGRAMS,Cooperativa Mixta Regional Brisas de la Frontera Limitada,No description available,3/4/2025,100410.0
DEPARTMENT OF STATE,Kofi Annan Int. Peacekeeping Training Centre (KAIPTC),TO IMPROVE COMMUNICATION AND THE RELATIONSHIP BETWEEN DEFENSE AND SECU...,2/26/2025,100245.0
DEPARTMENT OF STATE,"AMERICAN COUNCILS FOR INTERNATIONAL EDUCATION: ACTR/ACCELS,",No description available,2/26/2025,100008.7
DEPARTMENT OF STATE,OFFICE OF THE HIGH REPRESENTATIVE,OHR WILL RESTART ITS JUNIOR PROFESSIONAL PROGRAM AS A FELLOWSHIP PROGR...,2/26/2025,100000.0
DEPARTMENT OF STATE,JA MENA NPIO,No description available,2/26/2025,100000.0
DEPARTMENT OF STATE,WORLD LEARNING INC.,THE PURPOSE OF THIS FEDERAL AWARD IS TO SUPPORT WORLD LEARNING'S 12-MO...,2/26/2025,100000.0
DEPARTMENT OF STATE,Abercrombie Kent Philanthropy,"FROM TRASH TO TREASURE - EMPOWERING WOMEN TO REDUCE, REUSE AND RECYCLE...",2/26/2025,100000.0
DEPARTMENT OF STATE,Associacao Projeto Biodiversidade,No description available,2/26/2025,100000.0
DEPARTMENT OF STATE,INTERNATIONAL REPUBLICAN INSTITUTE,THIS PROJECT FOCUSES ON SUPPORTING PEOPLE WITH DISABILITIES IN GABON T...,2/26/2025,100000.0
DEPARTMENT OF STATE,Peres Center for Peace and Innovation,No description available,2/26/2025,100000.0
DEPARTMENT OF STATE,"ASIA FOUNDATION, THE",TO IMPLEMENT A PROGRAM THAT EMPOWERS YOUTH TO CREATE AI AND DIGITAL SO...,2/26/2025,100000.0
DEPARTMENT OF STATE,Arts Council of Pakistan Karachi,"THE 'JAZZ MEET RAGAS' PROJECT, SPEARHEADED BY THE ARTS COUNCIL OF PAKI...",2/26/2025,100000.0
DEPARTMENT OF STATE,Ntalpuk Ning Epang Association (NNEFA),"IS TO IMPLEMENT THE REHABILITATION PROGRAM (MANGROVE PLANTING, VETIVER...",2/26/2025,100000.0
DEPARTMENT OF STATE,CASE WESTERN RESERVE UNIVERSITY,TO DEVELOP ACADEMIC AND JOINT RESEARCH PROGRAMS AND TO EXPAND THEIR AC...,2/26/2025,100000.0
DEPARTMENT OF STATE,AMIDEAST,"THROUGH THE 150-HOUR YOUTH ENGLISH PROGRAM, AMIDEAST WILL DELIVER HIGH...",2/26/2025,100000.0
DEPARTMENT OF STATE,Nha Trang University,No description available,2/26/2025,100000.0
USAID,YAYASAN LEMBAGA BANTUAN HUKUM INDONESIA,DRG - TOLERANSI. NEW DRG ACTIVITY TO EFFECTIVELY PROMOTE THE FREEDOM O...,3/1/2025,100000.0
USAID,UNITED NATIONS DEVELOPMENT PROGRAMME,SUPPORT DPG SECRETARIAT THROUGH UNDP AS A PROGRAM CONTRIBUTION FROM US...,3/1/2025,100000.0
USAID,ADPP - AJUDA DE DESENVOLVIMENTO DE POVO PARA POVO,STRENGTHENING MUNICIPAL EDUCATION SYSTEM TO ENSURE QUALITY EDUCATION F...,3/1/2025,100000.0
DEPARTMENT OF STATE,Action Contre la Faim,TO ENHANCE CLIMATE RESILIENCE AND IMPROVE AGRICULTURAL WATER MANAGEMEN...,2/28/2025,100000.0
DEPARTMENT OF STATE,SLOVENSKA DEBATNA ASOCIACIA,THE PURPOSE OF THIS AWARD IS TO BUILD THE CAPACITY OF TEACHERS TO COUN...,3/4/2025,100000.0
HOUSING AND URBAN DEVELOPMENT,Technical Assistance Collaborative,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,100000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"FEDERATED STATES OF MICRONESIA, OFFICE OF HEALTH SVCS",No description available,3/23/2025,100000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",No description available,3/23/2025,100000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"REPUBLIC OF PALAU, BUREAU OF HEALTH SEVICES",No description available,3/23/2025,100000.0
DEPARTMENT OF STATE,Association Mines Sans Pauvrete,THE GOAL OF THIS PROJECT IS TO INCREASE LOCAL CAPACITY AND WILL TO PRO...,2/26/2025,99996.72
DEPARTMENT OF STATE,Symbiosis International (Deemed University),THE TECH CAMP WILL ENGAGE 40 PROFESSIONALS FROM DIVERSE BACKGROUNDS IN...,2/26/2025,99984.42
DEPARTMENT OF STATE,INTERNATIONAL CENTER FOR JOURNALISTS INC,"THROUGH TAILORED TRAINING, REPORTING FELLOWSHIPS, AND NETWORK BUILDING...",2/26/2025,99964.31
HOUSING AND URBAN DEVELOPMENT,Intermoutain Fair Housing Council Inc.,PURPOSE: THE PROJECT PROVIDES A STATEWIDE FULL-SERVICE FAIR HOUSING EN...,2/27/2025,99832.0
DEPARTMENT OF STATE,UNIVERSITY OF WISCONSIN SYSTEM,No description available,2/26/2025,99788.0
INTERNATIONAL ASSISTANCE PROGRAMS,Red Peruana de Jovenes Afrodescendientes Ashanti Peru,No description available,3/4/2025,99723.0
DEPARTMENT OF STATE,AFS Egypt Intercultural Educational programs,GRANT OF FUNDS TO SUPPORT AI IN ACTION THAT WILL PROVIDE ALUMNI OF US ...,2/26/2025,99445.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF CHICAGO,No description available,3/23/2025,99409.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION INC,TO SUPPORT IIE SCHOLAR RESCUE FUND TO SUPPORT NEW YEMENI SCHOLARS AND ...,2/26/2025,99366.91
DEPARTMENT OF STATE,CENTER FOR THE STUDY OF DEMOCRACY,No description available,2/26/2025,99265.24
HOUSING AND URBAN DEVELOPMENT,HomeBase Center for Common Concerns,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,99224.0
DEPARTMENT OF STATE,REFUGEE INVESTMENT NETWORK INC,TO CONDUCT A MARKET ASSESSMENT TO IDENTIFY CONCRETE LIVELIHOOD OPPORTU...,2/26/2025,99044.78
DEPARTMENT OF STATE,THE ANTIQUITIES COALITION,THE PROJECT WILL HELP DEVELOP A REQUEST FOR A BILATERAL CULTURAL PROPE...,2/26/2025,99000.0
USAID,NATIONAL SOCIETY FOR EARTHQUAKE TECHNOLOGY-NEPAL,TO ENHANCE THE UNDERSTANDING OF EARTHQUAKE HAZARD AND RISK IN NEPAL IN...,3/1/2025,98917.0
DEPARTMENT OF STATE,Jerusalem Season of Culture,No description available,2/26/2025,98760.0
DEPARTMENT OF STATE,Five One Labs,TO PROVIDE TRAINING FOR 15 IT STUDENTS AND 15 VISUAL ARTISTS HOW TO MA...,2/26/2025,98700.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,VANDERBILT UNIVERSITY,No description available,2/28/2025,98617.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,98409.33
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Grupo de Trabajo Redes,No description available,3/4/2025,97785.0
DEPARTMENT OF STATE,Edraak for Training and Social Development,A HYBRID 18-MONTH ECONOMIC INCLUSION AND MOBILIZATION PROGRAM FOR 100 ...,3/1/2025,97772.0
HOUSING AND URBAN DEVELOPMENT,BCT Partners,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,97409.0
DEPARTMENT OF STATE,Organization for Community Development HUMAN,No description available,2/26/2025,97380.0
DEPARTMENT OF AGRICULTURE,Modoc Nation,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,-,97319.0
DEPARTMENT OF AGRICULTURE,Walker River Paiute Tribe,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,-,96965.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,EMORY UNIVERSITY,No description available,3/23/2025,96944.1
DEPARTMENT OF STATE,GEORGETOWN UNIVERSITY,No description available,2/26/2025,96825.85
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Desarrollo Integral Reserva Indígena Bribri Talamanca,No description available,3/4/2025,96580.0
DEPARTMENT OF STATE,"AMERICAN COUNCILS FOR INTERNATIONAL EDUCATION: ACTR/ACCELS,",No description available,2/26/2025,96500.0
DEPARTMENT OF STATE,LABORATORIO DE SOLUCIONES COLABORATIVAS DE POLITICAS PUBLICA,No description available,2/26/2025,96382.69
DEPARTMENT OF STATE,UNIVERSITY OF ALABAMA,THE UNIVERSITY OF ALABAMA WILL ADMINISTER THE SIX-WEEK GANDHI-KING SCH...,2/26/2025,96237.63
DEPARTMENT OF STATE,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,No description available,2/26/2025,96057.94
DEPARTMENT OF STATE,LEPL CULTURAL HERITAGE PROTECTION AGENCY OF AJARA,THE PURPOSE OF THE AWARD IS TO ENABLE THE RECIPIENT TO FACILITATE THE ...,2/26/2025,95000.0
DEPARTMENT OF STATE,Balkan Art Zone,TO SUPPORT NGO BALKAN ART ZONE TO CONDUCT THE ONE BEAT BALKANS (1BB) P...,2/26/2025,95000.0
DEPARTMENT OF STATE,METROPOLITAN MUSEUM OF ART,No description available,2/26/2025,95000.0
DEPARTMENT OF STATE,CLEMSON UNIVERSITY,COVER THE UNIVERSITY PARTNERSHIP PROGRAM BETWEEN CLEMSON UNIVERSITY AN...,2/26/2025,94664.0
DEPARTMENT OF STATE,OFFICE IVOIRIEN DU PATRIMOINE CULTUREL(OIPC),No description available,2/26/2025,94251.0
HOUSING AND URBAN DEVELOPMENT,Legal Aid Society of San Diego,PURPOSE: TO ASSIST IN THE ORGANIZING OF FAIR HOUSING ENFORCEMENT ORGAN...,2/27/2025,93750.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HUNTER COLLEGE,No description available,3/23/2025,93425.17
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"BUTLER HOSPITAL (PROVIDENCE, RI)",No description available,3/23/2025,93183.22
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,92371.0
HOUSING AND URBAN DEVELOPMENT,Technical Assistance Collaborative,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,92129.0
DEPARTMENT OF STATE,Yosser Belghith,No description available,2/26/2025,90470.0
DEPARTMENT OF STATE,"HEARTLAND ALLIANCE INTERNATIONAL, LLC",No description available,2/26/2025,90296.81
USAID,CESAG,YALI RLC,3/1/2025,90018.79
USAID,CESAG,No description available,3/1/2025,90018.0
DEPARTMENT OF STATE,Center for Interethnic Dialogue and Tolerance Amalipe,No description available,2/26/2025,90000.0
DEPARTMENT OF STATE,THE AMERICAN COUNCIL OF YOUNG POLITICAL LEADERS,SUPPORT OF THE U.S.-NORTH MACEDONIA LEADERS EXCHANGE.,2/26/2025,90000.0
DEPARTMENT OF STATE,RA Consulting LLC,TO FACILITATE THE PROJECT - COMMUNITY YOUTH ENGAGEMENT IN THE REGIONS ...,2/26/2025,90000.0
DEPARTMENT OF STATE,WHEYHAM Report,SITE SECURITY AND PROTECTION AT NOK CULTURAL HERITAGE SITES - CULTURAL...,2/26/2025,90000.0
DEPARTMENT OF STATE,Protea Owl,TO FIRSTLY IDENTIFY AND PREPARE STUDENTS TO APPLY FOR ADMISSION TO U.S...,2/26/2025,90000.0
DEPARTMENT OF STATE,Protea Owl,TO FIRSTLY IDENTIFY AND PREPARE STUDENTS TO APPLY FOR ADMISSION TO U.S...,2/26/2025,90000.0
DEPARTMENT OF STATE,PACIFIC FORUM INTERNATIONAL,"TO ORGANIZE TOURS FOR EMERGING JOURNALISTS FROM PRINT, DIGITAL, & BROA...",2/26/2025,89981.33
DEPARTMENT OF STATE,PACIFIC FORUM INTERNATIONAL,TO ORGANIZE A 3-DAY INDO-PACIFIC THINK TANK CONFERENCE IN INDIA FOR 15...,2/26/2025,89942.07
DEPARTMENT OF STATE,American Corner Sulaimaniyah,No description available,2/26/2025,89806.0
INTERNATIONAL ASSISTANCE PROGRAMS,"EMPRESA COMUNITARIA DE MUJERES RURALES DE GUAPI ""RIOS UNIDOS""",No description available,3/4/2025,89577.0
DEPARTMENT OF STATE,AMERICAN BAR ASSOCIATION FUND FOR JUSTICE AND EDUCATION,No description available,2/26/2025,89048.63
INTERNATIONAL ASSISTANCE PROGRAMS,Corporacion para Desarrollo del Medio Ambiente,No description available,3/4/2025,88978.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de lideres y lideresas de Cartagena,No description available,3/4/2025,88717.0
DEPARTMENT OF STATE,STRATEGIC CAPACITY GROUP INC,No description available,2/26/2025,88601.06
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,88577.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,JOHNS HOPKINS UNIVERSITY,No description available,3/23/2025,88409.7
DEPARTMENT OF STATE,Associacao Cultural Tambo Tambulani Tambo,SUPPORT CHILDREN AND ADOLESCENTS FROM AREAS IN ARMED CONFLICT WITH TOO...,2/26/2025,88268.33
DEPARTMENT OF STATE,Amnesty Togo,"PROMOTE MORE TRANSPARENT, INCLUSIVE, AND PARTICIPATORY GOVERNANCE IN T...",2/26/2025,88037.05
DEPARTMENT OF AGRICULTURE,Salamatof Tribe,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,-,87966.0
DEPARTMENT OF STATE,ICONEM,No description available,2/26/2025,87924.2
DEPARTMENT OF AGRICULTURE,Shinnecock Indian Nation,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,-,87227.0
DEPARTMENT OF STATE,MERIDIAN INTERNATIONAL CENTER,No description available,2/26/2025,87215.34
DEPARTMENT OF STATE,COUNCIL OF AMERICAN OVERSEAS RESEARCH CENTERS,"TO IMPLEMENT, ""LAW ENFORCEMENT TRAINING TO COMBAT THE ILLICIT TRAFFICK...",2/26/2025,87000.0
DEPARTMENT OF STATE,VERMONT LAW AND GRADUATE SCHOOL,No description available,2/26/2025,86994.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,86606.0
DEPARTMENT OF STATE,UNIVERSITY OF NOTRE DAME DU LAC,No description available,2/26/2025,86599.08
DEPARTMENT OF STATE,"Khuzula Investments, Lda",No description available,2/26/2025,86242.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Rapaces y Bosques de Panamá,No description available,3/4/2025,86215.0
DEPARTMENT OF STATE,Action for Democratic Society (ADS) hibrid.info,TO STRENGTHEN INFORMATION INTEGRITY AND PREVENT AND COUNTER DIS/MISINF...,2/26/2025,86067.0
HOUSING AND URBAN DEVELOPMENT,"Enterprise Community Partners, Inc.",COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,86043.0
INTERNATIONAL ASSISTANCE PROGRAMS,Cooperativa Agropecuaria Tierra Campesina limitada,No description available,3/4/2025,85652.0
HOUSING AND URBAN DEVELOPMENT,HomeBase Center for Common Concerns,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,85445.0
DEPARTMENT OF STATE,CYARK,TO BUILD LOCAL CAPACITY IN THE 3D DOCUMENTATION OF CULTURAL HERITAGE S...,2/26/2025,85439.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Productores Comalapenses,No description available,3/4/2025,85195.0
DEPARTMENT OF STATE,NIRIJ for Investigative Journalism,No description available,2/26/2025,85125.0
DEPARTMENT OF STATE,Fundacao Clarisse Machanguana,"OFFER A SAFE SPACE FOR YOUTH TO PLAY AND LEARN, DEVELOP LIFE SKILLS, A...",2/26/2025,85000.0
DEPARTMENT OF STATE,"AMERICAN COUNCILS FOR INTERNATIONAL EDUCATION: ACTR/ACCELS,",No description available,2/26/2025,85000.0
INTERNATIONAL ASSISTANCE PROGRAMS,Federação das Comunidades Quilombolas do Estado de Minas Gerais,No description available,3/4/2025,84920.0
DEPARTMENT OF STATE,WOODROW WILSON INTERNATIONAL CENTER FOR SCHOLARS,No description available,2/26/2025,84706.53
DEPARTMENT OF STATE,COMPANY E,No description available,2/26/2025,84474.9
DEPARTMENT OF STATE,GO NEZALEJN? KULXTURN? ?N?C?ATIVI,No description available,2/26/2025,84333.0
DEPARTMENT OF STATE,INTERNATIONAL CAMPAIGN TO BAN LANDMINES - CLUSTER MUNITION C,No description available,2/26/2025,84331.0
DEPARTMENT OF STATE,Christ Trust,TO TRAIN 250-300 JOURNALISTS AND MEDIA PROFESSIONALS ACROSS 6 WORKSHO...,2/26/2025,84050.04
INTERNATIONAL ASSISTANCE PROGRAMS,Alianza Latinoamericana de Turismo Sostenible,No description available,3/4/2025,83770.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Ideas que Transforman,No description available,3/4/2025,83509.0
DEPARTMENT OF STATE,Institute of Business Administration (IBA) - CEJ,No description available,2/26/2025,83508.75
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,83452.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,University of Minnesota,No description available,3/23/2025,83383.96
DEPARTMENT OF STATE,VENTUREWELL,No description available,2/26/2025,82972.39
DEPARTMENT OF STATE,IMAGINE CENTER FOR CONFLICT TRANSFORMATION,No description available,2/26/2025,82764.0
DEPARTMENT OF STATE,INTERNATIONAL RESEARCH & EXCHANGE BO,No description available,2/26/2025,82707.43
DEPARTMENT OF STATE,Rainbow Resources Lanka GTE,No description available,2/26/2025,82500.0
DEPARTMENT OF STATE,"UKRAINSKY TSENTR GROMADYANSKYKH INITSIATYV SVITLO, GO",No description available,2/26/2025,82354.21
INTERNATIONAL ASSISTANCE PROGRAMS,Corporación de Organizaciones Solidarias,No description available,3/4/2025,82321.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Mujeres Unidas para el Desarrollo Sostenible,No description available,3/4/2025,82210.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,82192.0
DEPARTMENT OF STATE,WORLD LEARNING INC,No description available,2/26/2025,82179.61
DEPARTMENT OF STATE,AMERICAN CHAMBER OF COMMERCE SAUDI ARABIA ASSOCIATION,No description available,2/26/2025,82176.76
INTERNATIONAL ASSISTANCE PROGRAMS,Association des Handicapés du Nord-Est,No description available,3/4/2025,82060.0
DEPARTMENT OF STATE,INTERNEWS NETWORK,"THE PROJECT SEEKS TO EQUIP JOURNALISTS, CIVIL SOCIETY, AND OTHER INFOR...",2/26/2025,82040.0
DEPARTMENT OF STATE,Cheetah Conservation Botswana,No description available,2/26/2025,82005.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,81315.0
DEPARTMENT OF AGRICULTURE,Cowlitz Indian Tribe,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,81272.0
DEPARTMENT OF STATE,Academia Desportiva New Vision the Bay,No description available,2/26/2025,81172.59
DEPARTMENT OF STATE,Public Journalism Club,THE PROJECT AIMS TO FORTIFY ARMENIA'S RESILIENCE AGAINST DISINFORMATIO...,2/26/2025,80825.0
DEPARTMENT OF STATE,CONFLICT DYNAMICS INTERNATIONAL INC,No description available,2/26/2025,80778.93
HOUSING AND URBAN DEVELOPMENT,"Enterprise Community Partners, Inc.",COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,80730.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF MICHIGAN AT ANN ARBOR,No description available,3/23/2025,80582.92
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF ALABAMA AT BIRMINGHAM,No description available,3/23/2025,80462.0
DEPARTMENT OF STATE,KARUNA CENTER FOR PEACE BUILDING INC,No description available,2/26/2025,80322.74
DEPARTMENT OF STATE,GREAT LAKES COMMUNITY ACTION PARTNERSHIP,No description available,2/26/2025,80006.58
