Agency,Recipient,Description,Date,SAVED
INTERNATIONAL ASSISTANCE PROGRAMS,"Foundation Cristosal, Inc",No description available,3/4/2025,121750.0
DEPARTMENT OF STATE,Consortium for Enhancement of Ukrainian Management Education,No description available,2/26/2025,121664.65
DEPARTMENT OF STATE,WORLD LEARNING INC,No description available,2/26/2025,121432.25
DEPARTMENT OF STATE,Arab Center for Alternative Planning,"ADVANCE DIVERSITY AND INCLUSION WITHIN MIXED CITIES AND PROVIDE NEEDED SKILLS AND KNOWLEDGE, INCLUDING U.S. EXPERTISE, FOR MUNICIPAL MEMBERS FROM THE ARAB COMMUNITY TO ENHANCE THEIR LOCAL AND NATIONAL COLLABORATIONS AND STRENGTHEN ARAB JEWISH PARTNERSHIP",2/26/2025,121400.0
INTERNATIONAL ASSISTANCE PROGRAMS,South East Cockpit Country Local Forest Management Committee Benevolent Society,No description available,3/4/2025,121240.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"UNIVERSITY OF PITTSBURGH, THE",No description available,3/23/2025,121057.0
DEPARTMENT OF STATE,Fundacao Moreira Chonguica,"SUPPORT LOCAL MUSICIANS TO CREATE AND PERFORM SONGS THAT CONVEY MESSAGES OF PEACE, SOCIAL COHESION, AND THE PREVENTION OF VIOLENT EXTREMISM. THE INITIATIVE AIMED TO STRENGTHEN ARTISTS UNDERSTANDING OF THEIR ROLE AS PEACE-BUILDING INFLUENCERS THROUGH",2/26/2025,120899.9
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/15/2025,120763.0
INTERNATIONAL ASSISTANCE PROGRAMS,Caribbean Natural Resources Institute,No description available,3/4/2025,120615.0
DEPARTMENT OF STATE,ASSOCIATION VILLAGEOIS 2.0,"ASSOCIATION VILLAGEOIS 2.0 WILL ORGANIZE A TECHCAMP TO COMBAT DISINFORMATION BY ENHANCING JOURNALISTS', BLOGGERS', AND INFLUENCERS' SKILLS IN FACT-CHECKING. THE EVENT AIMS TO SUPPORT ANTI-DISINFORMATION INITIATIVES THROUGH MENTORING IN A HYBRID NEWSROOM.",2/26/2025,120000.0
DEPARTMENT OF STATE,WENAKLABS,"THE AUGMENTED CITIZENSHIP, DEMOCRACY AND INCLUSION (CADI) PROJECT SEEKS TO ACHIEVE SYSTEMIC CHANGE BY FOSTERING A CULTURE OF CIVIC ENGAGEMENT AND DEMOCRATIC PARTICIPATION IN CHAD THROUGH DIGITAL TOOLS, WITH THE ULTIMATE GOAL OF ENABLING CITIZENS TO ACT",2/26/2025,120000.0
DEPARTMENT OF STATE,JAMES MADISON UNIVERSITY,No description available,2/26/2025,119905.74
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,119605.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DC DEPARTMENT OF HEALTH CARE FINANCE,No description available,3/23/2025,118991.0
DEPARTMENT OF STATE,INTERNATIONAL CENTER FOR JOURNALISTS INC,THE TWO-PART TRAINING WILL HELP EMPOWER PAKISTANI WOMEN JOURNALISTS OVERCOME BARRIERS THEY FACE IN PROFESSIONAL DEVELOPMENT DUE TO GENDER.,2/26/2025,118871.39
DEPARTMENT OF STATE,UNIVERSITY OF SOUTH CAROLINA,No description available,2/26/2025,118449.34
DEPARTMENT OF DEFENSE,GAINING RESEARCH EXPERIENCE IN AFRI,SAIL FOR MANGROVES IN THE GAMBIA,3/23/2025,118275.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",No description available,3/23/2025,118008.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Comité de Rescate de Cuencas de La Libertad,No description available,3/4/2025,117964.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,BAYLOR RESEARCH INSTITUTE,No description available,3/23/2025,117721.0
HOUSING AND URBAN DEVELOPMENT,Cloudburst Consulting Group,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,117510.0
DEPARTMENT OF STATE,Ukrainer,No description available,2/26/2025,117405.5
HOUSING AND URBAN DEVELOPMENT,Cloudburst Consulting Group,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,116974.0
DEPARTMENT OF STATE,EDGE EFFECT COLLABORATIONS PTY LTD,No description available,2/26/2025,116950.38
DEPARTMENT OF STATE,Organizacao das Mulheres de Cabo Verde (OMCV),No description available,2/26/2025,116662.16
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/15/2025,116653.09
DEPARTMENT OF STATE,MIDDLE EAST INSTITUTE,"TO FORTIFY THE BILATERAL RELATIONSHIP BETWEEN THE U.S. AND LEBANON BY STRATEGICALLY ENHANCING DIALOGUE AND CIVIC PARTICIPATION BETWEEN THE LEBANESE DIASPORA AND COMMUNITIES IN LEBANON, WITH A SPECIFIC EMPHASIS ON THE 2026 PARLIAMENTARY ELECTIONS.",2/26/2025,116518.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,116480.0
DEPARTMENT OF STATE,THE HENRY L STIMSON CENTER,No description available,2/26/2025,116436.29
INTERNATIONAL ASSISTANCE PROGRAMS,Cooperativa del Sur del Cauca,No description available,3/4/2025,116247.0
INTERNATIONAL ASSISTANCE PROGRAMS,CORPORACION SIPAZ,No description available,3/4/2025,116081.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,115971.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,115696.0
INTERNATIONAL ASSISTANCE PROGRAMS,Treasure Beach Women's Group Benevolent Society,No description available,3/4/2025,115670.0
DEPARTMENT OF STATE,LEPL Information Center on NATO and EU,No description available,2/26/2025,115000.0
DEPARTMENT OF STATE,The Institute for National Security Studies,"TO IDENTIFY AND ADDRESS MAIN THREATS TO U.S.-ISRAEL RELATIONS BY CONVENING A TASK FORCE THAT WILL FORMULATE ACTIONABLE RECOMMENDATIONS BASED ON THEIR FINDINGS AND SHARE THESE THROUGH WORKSHOPS, CONFERENCES, AND DIRECT OUTREACH.",2/26/2025,115000.0
USAID,CREATIVE CENTRE FOR COMMUNITY MOBILISATION,MILIMO LOCAL CAPACITY BUILDING ACTIVITY,3/1/2025,115000.0
DEPARTMENT OF AGRICULTURE,Fort Peck Assiniboine & Sioux Tribe,No description available,3/17/2025,114641.0
DEPARTMENT OF STATE,GUILFORD COLLEGE,DEVELOP A VIRTUAL INCUBATOR TO PROVIDE ENTREPRENEURIAL DEVELOPMENT TRAINING TO UNIVERSITY STUDENTS IN SOUTH AFRICA,2/26/2025,114550.5
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACION CENTRO ARAKUAARENDA,No description available,3/4/2025,114500.0
INTERNATIONAL ASSISTANCE PROGRAMS,REDE COMUÁ,No description available,3/4/2025,114450.0
DEPARTMENT OF STATE,Habibi Valtiberina Association,"THIS PROJECT AIMS TO ENHANCE THE EMPLOYABILITY OF 60 VULNERABLE JORDANIANS AND REFUGEES, FOCUSING ON THE FOOD SECTOR.",2/26/2025,114443.2
INTERNATIONAL ASSISTANCE PROGRAMS,Corporacion Colombia Joven,No description available,3/4/2025,114408.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DISTRICT COLUMBIA GOVERNMENT,No description available,3/23/2025,114286.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PA ST DEPARTMENT OF PUBLIC WELFARE,No description available,3/23/2025,114096.0
INTERNATIONAL ASSISTANCE PROGRAMS,Comunidad y Biodiversidad A.C.,No description available,3/4/2025,114089.0
HOUSING AND URBAN DEVELOPMENT,Local Initiatives Support Corp,INDIAN HOUSING BLOCK GRANTS,2/26/2025,114054.0
INTERNATIONAL ASSISTANCE PROGRAMS,Consejo de Cuenca Rio Goascoran,No description available,3/4/2025,114015.0
INTERNATIONAL ASSISTANCE PROGRAMS,INSTITUTO DE MEDIO AMBIENTE Y GÉNERO PARA EL DESARROLLO,No description available,3/4/2025,113955.0
DEPARTMENT OF STATE,SYNERGIA-INITIATIVES FOR,No description available,2/26/2025,113649.87
HOUSING AND URBAN DEVELOPMENT,Collaborative Solutions Inc,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,113556.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF TEXAS AT AUSTIN,No description available,3/23/2025,113515.0
INTERNATIONAL ASSISTANCE PROGRAMS,Artesanos Asociados Sumac Pallay Sibayo,No description available,3/4/2025,113345.0
DEPARTMENT OF STATE,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,"TRAIN A NEW GENERATION OF ASEAN URBAN PLANNERS, ARCHITECTS, AND ENGINEERS IN THE LATEST METHODOLOGIES, TECHNIQUES, MATERIALS, AND ARCHITECTURAL DESIGNS TO IMPROVE THE AIR QUALITY INSIDE AND OUTSIDE OF BUILDINGS.",2/26/2025,113278.39
DEPARTMENT OF HEALTH AND HUMAN SERVICES,VI DEPARTMENT OF HEALTH,No description available,3/23/2025,113226.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",No description available,3/23/2025,113208.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF CALIFORNIA,No description available,3/23/2025,113118.0
INTERNATIONAL ASSISTANCE PROGRAMS,ONG Asociación Protección del Medio Ambiente Tarija - PROMETA,No description available,3/4/2025,113070.0
DEPARTMENT OF STATE,FILM INDEPENDENT INC,No description available,2/26/2025,112903.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fondo Región Colonia,No description available,3/4/2025,112700.0
DEPARTMENT OF STATE,Asociacion Centro de Derecho Ambiental y de los Recursos Naturales,THIS PROJECT WILL STRENGTHEN PARTICIPATORY GOVERNANCE WITHIN THE COMMUNITY-BASED MANAGEMENT OF WATER PROVISION SERVICES AS A MEANS TO PREVENT CORRUPTION.,2/27/2025,112696.0
INTERNATIONAL ASSISTANCE PROGRAMS,Red Común Nacional Organizada de Ciudadanos-as Dominicanos-as,No description available,3/4/2025,112600.0
DEPARTMENT OF STATE,UNIVERSITY OF WISCONSIN SYSTEM,TO ENHANCE AMERICA'S KNOWLEDGE OF THE STATES OF THE FORMER U.S.S.R. AND EASTERN AND CENTRAL EUROPE.,2/27/2025,112295.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"General Dept of Preventive Medicine, Ministry of Health",No description available,3/23/2025,112000.0
DEPARTMENT OF STATE,Levizja FOL,No description available,2/26/2025,111873.39
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SEATTLE CHILDREN'S HOSPITAL,No description available,3/23/2025,111597.47
DEPARTMENT OF STATE,Madanyat,"TO AMPLIFY WOMEN'S POSITIVE ROLE IN CONFLICT RESOLUTION AND PEACEBUILDING AS WELL AS TO IMPROVE THEIR REPRESENTATION IN DECISION-MAKING ROLES IN POLITICAL PARTIES, UNIVERSITIES, SYNDICATES, AND MUNICIPALITIES.",2/26/2025,111563.1
INTERNATIONAL ASSISTANCE PROGRAMS,MANQA SOSTENIBLE SOCIEDAD CIVIL,No description available,3/4/2025,110863.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,110844.0
INTERNATIONAL ASSISTANCE PROGRAMS,"MESA CONSULTIIVA, NUEVA ESPERANZA, LA CAMPA",No description available,3/4/2025,110602.0
HOUSING AND URBAN DEVELOPMENT,Cloudburst Consulting Group,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,110385.0
DEPARTMENT OF STATE,THE VANCE CENTER,BUILDING MUTUAL UNDERSTANDING AND SHARING EXPERTISE TO MOBILIZE MEMBERS OF THE SOUTH AFRICAN AND U.S. LEGAL PROFESSIONS TO ADVANCE RACIAL EQUITY AND INCLUSION ON PROFESSIONAL AND COMMUNITY LEVELS IN SOUTH AFRICA.,2/26/2025,110334.98
DEPARTMENT OF AGRICULTURE,Chignik Lagoon Village Council,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS TO EXPAND UPON PRIOR LOCAL FOOD PURCHASE ASSISTANCE PROGRAM WORK, AND TO PROVIDE AN OPPORTUNITY FOR STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS WHO DID NOT PARTICIPATE IN THE LOCAL FOOD PURCHASE ASSISTANCE PROGRAM TO ESTABLISH PROJECTS THROUGH LFPA25. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS WILL PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOMESTIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL TARGET DISTRIBUTION TO UNDERSERVED COMMUNITIES. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES), THE VALUE OF FOOD DISTRIBUTIONS TO DATE, AND THE NUMBER OF UNIQUE LOCATIONS DISTRIBUTING FOOD TO DATE. IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",3/17/2025,110270.0
DEPARTMENT OF STATE,Qendra Albanian Center for Quality Journalism,"IMPROVE ENGLISH LANGUAGE SKILLS FOR 20 ALBANIAN JOURNALISTS AND IMMERSE 12 OF THEM IN AMERICAN MEDIA PRACTICES, SO THEY CAN BETTER UNDERSTAND THE ETHICS, VALUES AND THE LATEST TECHNIQUES IN THE MEDIA FIELD. GOAL: BETTER-TRAINED, MORE GLOBALLY AWARE JOURN",2/26/2025,110000.0
USAID,ISCA,"THE SPORT & DEVELOPMENT PLATFORM IS COMMITTED TO JOINTLY DEVELOPING COMPREHENSIVE TRAINING RESOURCES TO INTEGRATE SPORTS INTO DEVELOPMENT PROGRAMMING. USAID WILL SUPPORT THIS EFFORT IN ORDER TO ENHANCE THE CAPACITY OF DEVELOPMENT PROFESSIONALS, LEVERAGING SPORTS AS A TRANSFORMATIVE TOOL FOR YOUTH AND COMMUNITY DEVELOPMENT.",3/1/2025,110000.0
DEPARTMENT OF STATE,Assos pour le Soutien des Detenus et Ex Detenus Tchadiens,CONTRIBUTE TO REDUCING VIOLATIONS OF HUMAN RIGHTS AND THE RIGHTS OF MINORS IN CHADIANS PRISONS,2/26/2025,110000.0
INTERNATIONAL ASSISTANCE PROGRAMS,Nature Power Foundation,No description available,3/4/2025,109700.0
INTERNATIONAL ASSISTANCE PROGRAMS,Centro de Desarrollo Humano,No description available,3/4/2025,109684.0
DEPARTMENT OF AGRICULTURE,Wyandotte Nation,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS TO EXPAND UPON PRIOR LOCAL FOOD PURCHASE ASSISTANCE PROGRAM WORK, AND TO PROVIDE AN OPPORTUNITY FOR STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS WHO DID NOT PARTICIPATE IN THE LOCAL FOOD PURCHASE ASSISTANCE PROGRAM TO ESTABLISH PROJECTS THROUGH LFPA25. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS WILL PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOMESTIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL TARGET DISTRIBUTION TO UNDERSERVED COMMUNITIES. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES), THE VALUE OF FOOD DISTRIBUTIONS TO DATE, AND THE NUMBER OF UNIQUE LOCATIONS DISTRIBUTING FOOD TO DATE. IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES",-,109620.0
DEPARTMENT OF AGRICULTURE,Kalispel Indian Community of the Kalispel Reservation,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS TO EXPAND UPON PRIOR LOCAL FOOD PURCHASE ASSISTANCE PROGRAM WORK, AND TO PROVIDE AN OPPORTUNITY FOR STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS WHO DID NOT PARTICIPATE IN THE LOCAL FOOD PURCHASE ASSISTANCE PROGRAM TO ESTABLISH PROJECTS THROUGH LFPA25. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS WILL PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOMESTIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL TARGET DISTRIBUTION TO UNDERSERVED COMMUNITIES. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES), THE VALUE OF FOOD DISTRIBUTIONS TO DATE, AND THE NUMBER OF UNIQUE LOCATIONS DISTRIBUTING FOOD TO DATE. IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",3/17/2025,109196.0
INTERNATIONAL ASSISTANCE PROGRAMS,Sawyers Local Forest Management Committee Benevolent Society,No description available,3/4/2025,109134.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CTR FOR INFECTIOUS DISEASE RESCH IN ZAMBIA,No description available,3/23/2025,108912.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",No description available,3/23/2025,108346.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MN ST DEPARTMENT OF HEALTH,No description available,3/23/2025,108167.0
DEPARTMENT OF STATE,Kuca ljudskih prava,"THE PROJECT TITLED "" STRENGTHENING THE RESEARCH, MONITORING, ADVOCACY AND WATCHDOG CAPACITIES OF CIVIL SOCIETY FOR UPHOLDING DEMOCRACY, HUMAN RIGHTS AND THE RULE OF LAW IN CROATIA "" AIMS TO BUILD THE CAPACITY OF CIVIL SOCIETY ORGANIZATIONS FOR RESEARCH,",2/26/2025,107925.0
DEPARTMENT OF AGRICULTURE,Mechoopda Indian Tribe of Chico Rancheria,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS TO EXPAND UPON PRIOR LOCAL FOOD PURCHASE ASSISTANCE PROGRAM WORK, AND TO PROVIDE AN OPPORTUNITY FOR STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS WHO DID NOT PARTICIPATE IN THE LOCAL FOOD PURCHASE ASSISTANCE PROGRAM TO ESTABLISH PROJECTS THROUGH LFPA25. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS WILL PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOMESTIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL TARGET DISTRIBUTION TO UNDERSERVED COMMUNITIES. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES), THE VALUE OF FOOD DISTRIBUTIONS TO DATE, AND THE NUMBER OF UNIQUE LOCATIONS DISTRIBUTING FOOD TO DATE. IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",3/17/2025,107829.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,107234.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Commonwealth Healthcare Corporation,No description available,3/23/2025,107187.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ASSOCIATION OF AMERICAN MEDICAL COLLEGES,No description available,3/23/2025,106978.0
INTERNATIONAL ASSISTANCE PROGRAMS,Organisation pour la Promotion de l'Agroforesterie,No description available,3/4/2025,106974.0
DEPARTMENT OF STATE,Yerevan Press Club NGO,No description available,2/26/2025,106962.9
DEPARTMENT OF STATE,CAMARA PANAMENA DE DESARROLLO SOCIAL (CAPADESO),No description available,2/26/2025,106740.94
DEPARTMENT OF HEALTH AND HUMAN SERVICES,GU MENTAL HEALTH & SUBSTANCE ABUSE AGENCY,No description available,3/23/2025,106483.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,JOHNS HOPKINS UNIVERSITY,No description available,3/23/2025,106473.0
DEPARTMENT OF STATE,AMANI INSTITUTE,"BUILDING A COHORT THAT WOULD STRENGTHEN RELATIONS BETWEEN THE U.S. EMBASSY AND PARTICIPANTS; AND IMPART THE CRITICAL THINKING, LEADERSHIP, PUBLIC SPEAKING, PROJECT MANAGEMENT, INNOVATION, AND DIALOGUE SKILLS NECESSARY TO BECOME GLOBAL LEADERS.",2/26/2025,106000.0
DEPARTMENT OF STATE,APPALACHIAN STATE UNIVERSITY,No description available,2/26/2025,105631.17
INTERNATIONAL ASSISTANCE PROGRAMS,Cooperativa Cafetalera Olancho Limitada,No description available,3/4/2025,105530.0
DEPARTMENT OF STATE,NATIONAL DEMOCRATIC INSTITUTE FOR INTERNATIONAL AFFAIRS,No description available,2/26/2025,105508.0
DEPARTMENT OF STATE,MIDDLE EAST INSTITUTE,"TO ENHANCE AMERICA'S KNOWLEDGE OF THE STATES OF THE FORMER U.S.S.R., AND EASTERN AND CENTRAL EUROPE",2/27/2025,105346.0
INTERNATIONAL ASSISTANCE PROGRAMS,ADI Reserva Indigena Cabecar Alto Chirripo,No description available,3/4/2025,105332.0
INTERNATIONAL ASSISTANCE PROGRAMS,Organismo Cristiano de Desarrollo Integral de Honduras,No description available,3/4/2025,105170.0
